ID,Task,Stage,Status,Effort,Blocked By,Acceptance
P0-1,Fix vercel.json production routing,Phase 0 · Blockers,Not started,S,,"/contact returns 200 on hard refresh"
P0-2,Verify the whole route table,Phase 0 · Blockers,Not started,S,P0-1,"All routes 200; unknown path renders Soon"
P0-3,Compress images,Phase 0 · Blockers,Not started,M,,"src/assets under 2MB; no image over 300KB"
P0-4,Delete unused assets,Phase 0 · Blockers,Not started,S,,"Build succeeds; no references remain"
P0-5,Add SEO metadata,Phase 0 · Blockers,Not started,S,,"Shared link renders a correct preview card"
P0-6,Add robots.txt and sitemap.xml,Phase 0 · Blockers,Not started,S,,"Both fetchable and valid"
P0-7,Create privacy page,Phase 0 · Blockers,Not started,M,P0-1,"/privacy renders and is linked from footer"
P0-8,Remove dead code,Phase 0 · Blockers,Not started,S,,"npm run lint clean"
P0-9,Fix footer copy typos,Phase 0 · Blockers,Not started,S,,"Proofread by a human"
P1-1,Provision Postgres,Phase 1 · MVP form,Not started,S,,"psql select 1 succeeds"
P1-2,Migration 001_inquiries.sql,Phase 1 · MVP form,Not started,M,P1-1,"Applies cleanly to empty DB"
P1-3,Python project scaffolding,Phase 1 · MVP form,Not started,S,,"pytest runs and collects cleanly"
P1-4,models.py — tests first,Phase 1 · MVP form,Not started,L,P1-3,"Every validation rule has a test written before the code"
P1-5,db.py,Phase 1 · MVP form,Not started,M,P1-2,"Integration test reads back a valid CJ-YYYY-NNNN"
P1-6,security.py,Phase 1 · MVP form,Not started,M,P1-3,"Each rejection path unit tested"
P1-7,api/inquiry.py handler,Phase 1 · MVP form,Not started,L,"P1-4, P1-5, P1-6","201 / 422 / 429 and silent spam rejection covered"
P1-8,notify.py Resend adapter,Phase 1 · MVP form,Not started,M,P1-7,"Formatted email arrives at NOTIFY_TO"
P1-9,fields.js schema,Phase 1 · MVP form,Not started,S,,"No field name appears in two places"
P1-10,InquiryForm component,Phase 1 · MVP form,Not started,L,P1-9,"Fully keyboard-navigable; every input labelled"
P1-11,Wire Contact.jsx with prefill,Phase 1 · MVP form,Not started,S,P1-10,"?destination=Cebu preselects Cebu"
P1-12,Fix TourPackage card links,Phase 1 · MVP form,Not started,S,P1-11,"Card click lands on form with destination prefilled"
P1-13,GitHub Actions CI,Phase 1 · MVP form,Not started,M,P1-7,"Broken validation rule fails the PR check"
P1-14,Production smoke test,Phase 1 · MVP form,Not started,S,"P1-8, P1-13","Row + email + reference code; round trip under 2s"
P2-1,Migration 002_outbox.sql,Phase 2 · Hardening,Not started,S,P1-2,"Partial index on undelivered rows exists"
P2-2,Move fan-out into the transaction,Phase 2 · Hardening,Not started,M,P2-1,"Stubbed Resend failure still returns 201"
P2-3,Outbox drain worker and cron,Phase 2 · Hardening,Not started,L,P2-2,"Concurrent workers never double-claim; dead-letters at 5"
P2-4,Enquirer acknowledgement email,Phase 2 · Hardening,Not started,M,P2-3,"Two independently retryable emails per submission"
P2-5,Rate limiting in production,Phase 2 · Hardening,Not started,M,P1-6,"Sixth submission in an hour returns 429"
P2-6,Structured logging,Phase 2 · Hardening,Not started,S,,"Submission reconstructable from logs by reference code"
P2-7,Sentry integration,Phase 2 · Hardening,Not started,S,,"Thrown exception appears tagged with reference code"
P2-8,Outbox depth alert,Phase 2 · Hardening,Not started,S,P2-3,"Stubbed sink failure fires the alert"
P2-9,Turnstile — only if spam appears,Phase 2 · Hardening,Not started,M,,"Conditional; do not build preemptively"
P3-1,Migration — triage columns,Phase 3 · Triage,Not started,S,P1-2,"Nullable; existing rows unaffected"
P3-2,Golden dataset of 30 labelled inquiries,Phase 3 · Triage,Not started,L,,"Covers FIT GIT MICE plus edge cases"
P3-3,Promptfoo eval suite,Phase 3 · Triage,Not started,M,P3-2,"promptfoo eval reports per-case pass/fail"
P3-4,api/triage.py with structured outputs,Phase 3 · Triage,Not started,L,P3-3,"Malformed response refusal and timeout all tested"
P3-5,Nightly batch via Message Batches API,Phase 3 · Triage,Not started,M,P3-4,"Batch failure retries without double-triaging"
P3-6,CI eval gate,Phase 3 · Triage,Not started,S,P3-3,"Degraded prompt fails the build"
P4-1,Choose the ops surface,Phase 4 · Ops,Not started,S,,"Choice recorded in decisions.md with reasoning"
P4-2,Status workflow,Phase 4 · Ops,Not started,M,P4-1,"Agent marks a lead contacted without SQL"
P4-3,Reporting queries,Phase 4 · Ops,Not started,M,P4-1,"Five questions answerable without writing SQL"
P4-4,Retention policy and anonymisation,Phase 4 · Ops,Not started,M,P0-7,"Expired rows anonymised; window published on /privacy"
